timestamp,high,low,open,volumefrom,volume,close,conversionType,conversionSymbol
2017-07-21 00:00:00+00:00,236.62,209.46,226.33,1045580.12,233383296.53,216.33,direct,
2017-07-22 00:00:00+00:00,236.55,215.3,216.33,667429.85,151128752.55,230.47,direct,
2017-07-23 00:00:00+00:00,234.17,220.3,230.47,563141.15,128301932.65,228.32,direct,
2017-07-24 00:00:00+00:00,229.56,224.04,228.32,397799.34,90165893.98,225.48,direct,
2017-07-25 00:00:00+00:00,225.98,192.64,225.48,1382784.11,285374761.65,203.59,direct,
2017-07-26 00:00:00+00:00,209.29,193.1,203.59,809346.64,161659275.04,202.88,direct,
2017-07-27 00:00:00+00:00,205.68,198.93,202.88,504777.47,102009361.91,202.93,direct,
2017-07-28 00:00:00+00:00,203.93,189.77,202.93,631780.7,123425467.06,191.21,direct,
2017-07-29 00:00:00+00:00,209.57,177.69,191.21,1010020.82,192325102.02,206.14,direct,
2017-07-30 00:00:00+00:00,209.88,194.12,206.14,553749.07,110586575.75,196.78,direct,
2017-07-31 00:00:00+00:00,201.78,190.53,196.78,528822.67,103641349.39,201.33,direct,
2017-08-01 00:00:00+00:00,232.55,201.27,201.33,1444224.2,314260050.78,225.9,direct,
2017-08-02 00:00:00+00:00,228.98,215.71,225.9,557162.98,122967812.49,218.12,direct,
2017-08-03 00:00:00+00:00,228.08,217.84,218.12,417327.69,93201219.53,224.39,direct,
2017-08-04 00:00:00+00:00,227.45,219.73,224.39,393605.18,87804496.93,220.6,direct,
2017-08-05 00:00:00+00:00,258.47,219.72,220.6,1049623.56,251531536.79,253.09,direct,
2017-08-06 00:00:00+00:00,272.22,251.79,253.09,839224.25,219315844.17,264.56,direct,
2017-08-07 00:00:00+00:00,274.39,257.41,264.56,594385.57,158590573.11,269.94,direct,
2017-08-08 00:00:00+00:00,299.55,266.94,269.94,804213.25,229459233.36,296.51,direct,
2017-08-09 00:00:00+00:00,314.75,279.1,296.51,1476327.93,439031586.16,295.28,direct,
2017-08-10 00:00:00+00:00,310.18,289.22,295.24,576082.58,173781086.18,298.28,direct,
2017-08-11 00:00:00+00:00,310.36,295.94,298.28,486177.48,146799311.1,309.32,direct,
